t;dT
0x123aabbe7;0x11916
0x123ac8a20;0x11b22
0x123ae5762;0x11b93
0x123b02395;0x11b50
0x123b1f0d7;0x11b9f
0x123b3ba9d;0x1198c
0x123b5873d;0x1198f
0x123b751c2;0x1175b
0x123b91f8e;0x11954
0x123baed97;0x11b05
0x123bcb977;0x11b16
0x123be8552;0x11a45
0x123c05074;0x1189f
0x123c21d9e;0x11930
0x123c3e914;0x11aa4
0x123c5b092;0x116d7
0x123c77f15;0x11b29
0x123c949f9;0x11996
0x123cb1607;0x11922
0x123cce235;0x1194c
0x123cead5f;0x1198c
0x123d07e27;0x11a40
0x123d243a2;0x11785
0x123d41369;0x11bf9
0x123d5df46;0x11b5d
0x123d7ab41;0x11aa5
0x123d977d1;0x11a7e
0x123db43ab;0x11976
0x123dd1072;0x119aa
0x123dedc61;0x118e9
0x123e0b172;0x118a5
0x123e27e08;0x1188a
0x123e44ab9;0x118b5
0x123e6169d;0x11814
0x123e7e239;0x11983
0x123e9aefa;0x11af1
0x123eb7b78;0x11bfa
0x123ed4819;0x11c01
0x123ef13f8;0x11b21
0x123f0df28;0x119a0
0x123f2abef;0x1198b
0x123f4789c;0x1197e
0x123f6445e;0x1189e
0x123f80f0a;0x116bd
0x123f9df4c;0x11b9c
0x123fbabf8;0x11bcf
0x123fd745e;0x11894
0x123ff41e7;0x119b7
0x124010ef5;0x11b7c
0x12402d62f;0x117e1
0x12404a4c1;0x11b37
0x1240670d4;0x11a96
0x1240846d1;0x11962
0x1240a11d5;0x117c6
0x1240bde88;0x1180b
0x1240da0f3;0x119db
0x1240f748a;0x1196d
0x124113e2d;0x118a8
0x124130ab5;0x11cb5
0x12414d443;0x1197f
0x12416a1ea;0x11ab0
0x1241875f0;0x11a00
0x1241a43ce;0x11be7
0x1241c0953;0x117da
0x1241ddd6c;0x11967
0x1241f9e5c;0x119fe
0x124217307;0x118a5
0x124233f09;0x11807
0x124250e01;0x119f8
0x12426da47;0x11acb
0x12428a674;0x11a82
0x1242a6f8a;0x1199e
0x1242c3d31;0x11aa5
0x1242e0aca;0x11b95
0x1242fd214;0x117a6
0x124319f67;0x119ba
0x124336e2e;0x11be5
0x124353a95;0x11bc4
0x1243706fe;0x11517
0x12438d764;0x11895
0x1243aa4ac;0x1193f
0x1243c71a6;0x11b47
0x1243e3ced;0x11a7e
0x124400757;0x11998
0x12441d407;0x1199a
0x12443a216;0x11b28
0x124456ea1;0x11bda
0x124473a66;0x11b1b
0x124490573;0x1196c
0x1244acf27;0x116b6
0x1244c9d72;0x119a4
0x1244e6b60;0x11bab
0x12450352a;0x11922
0x1245200e4;0x11884
0x12453cec1;0x11b66
0x124559ba7;0x11be6
0x1245767fc;0x11bc2
0x124593512;0x11c64
0x1245b0abc;0x127b6
0x1245cc6ba;0x11881
0x1245e91a4;0x11a41
0x124605ae2;0x11743
0x1246234f7;0x11954
0x12464031b;0x11b06
0x12465cf33;0x11b5b
0x1246798e0;0x118ae
0x12469662e;0x11964
0x1246b3017;0x116ac
0x1246cff11;0x11967
0x1246ecbbe;0x11985
0x12470992b;0x11a42
0x12472660b;0x11b30
0x12474312a;0x11a11
0x12475fd08;0x11957
0x12477c9b5;0x11972
0x124799427;0x11749
0x1247b623a;0x1194d
0x1247d3011;0x11ada
0x1247efded;0x11c2c
0x12480c909;0x11b05
0x124829283;0x117cf
0x124845f31;0x118a4
0x124862faa;0x11d8b
0x12487f9a4;0x11bc2
0x12489c574;0x11ac6
0x1248b9057;0x11934
0x1248d5a80;0x116ff
0x1248f271c;0x116cf
0x12490f609;0x11939
0x12492c2c6;0x11981
0x124949218;0x11c56
0x124965b47;0x119e6
0x124982375;0x11611
0x12499f373;0x11aec
0x1249bc05a;0x11ba6
0x1249d8c07;0x11ac1
0x1249f56da;0x1191a
0x124a12341;0x11b23
0x124a2ef68;0x11a7e
0x124a4b8ea;0x1188f
0x124a683c5;0x116f7
0x124a85082;0x1171a
0x124aa1f27;0x1197a
0x124abed6a;0x11b40
0x124adb6c3;0x119a2
0x124af827d;0x118c5
0x124b14cec;0x11933
0x124b31636;0x116db
0x124b4e734;0x11ca7
0x124b6ba20;0x1184c
0x124b88929;0x11b32
0x124ba5582;0x11c8a
0x124bc207e;0x11b0e
0x124bdecab;0x11a86
0x124bfb6f5;0x11ba7
0x124c17e75;0x116e7
0x124c34c44;0x11560
0x124c51517;0x118ef
0x124c6e30a;0x11ba0
0x124c8b7a4;0x11aab
0x124ca80f6;0x11a82
0x124cc44b4;0x1178e
0x124ce143b;0x1160c
0x124cfe508;0x1173f
0x124d1b144;0x11663
0x124d378d7;0x117df
0x124d54626;0x118c6
0x124d711f9;0x1180b
0x124d8e017;0x119ac
0x124daae02;0x11b1e
0x124dc7ab2;0x11b0a
0x124de479b;0x11b51
0x124e01473;0x11c1f
0x124e1de46;0x11983
0x124e3a7bc;0x1165a
0x124e5759e;0x11873
0x124e74454;0x11b36
0x124e911b2;0x11bce
0x124eadf2c;0x11ccb
0x124ecaa57;0x11b50
0x124ee7651;0x11a77
0x124f042e2;0x11a1e
0x124f20ec1;0x1195e
0x124f3d887;0x116a3
0x124f5a703;0x119e1
0x124f7749a;0x11ac8
0x124f9449f;0x11e00
0x124fb0efc;0x11bbb
0x124fcdb93;0x11c05
0x124fea4e5;0x11862
0x12500717e;0x11987
0x125023dfc;0x1196c
0x125040a77;0x1197e
0x12505d895;0x11b30
0x12507a4e4;0x11abe
0x125097002;0x11a25
0x1250b3b58;0x11902
0x1250d064f;0x11716
0x1250ee15c;0x11bf1
0x12510ad37;0x11b34
0x1251278d7;0x119fd
0x125144490;0x11926
0x125161139;0x11979
0x12517dd09;0x11891
0x12519a790;0x11676
0x1251b6fef;0x11b1d
0x1251d3b23;0x119b8
0x1251f05e3;0x117f8
0x12520d294;0x1166d
0x12522a466;0x11c1e
0x125247c7e;0x12759
0x12526375a;0x11767
0x1252806dd;0x119fc
0x12529de52;0x11b42
0x1252baaf9;0x11b0b
0x1252d6a45;0x119a8
0x1252f3435;0x116ef
0x125310e02;0x11967
0x12532dba4;0x11a83
0x12534a588;0x119d6
0x1253671a0;0x11ac1
0x125383f36;0x11b80
